




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	heat_up.txt (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	heat_up.txt (1264)	heat_up.txt (expected)	heat_up.txt (over/under)	heat_up.txt (fold Enrichment)	heat_up.txt (raw P-value)	heat_up.txt (FDR)
thalianol metabolic process (GO:0080003)	3	3	.14	+	21.74	9.72E-05	1.46E-02
aldonate transmembrane transport (GO:0042873)	8	4	.37	+	10.87	2.69E-04	2.75E-02
fructose metabolic process (GO:0006000)	13	5	.60	+	8.36	1.93E-04	2.01E-02
protoporphyrinogen IX biosynthetic process (GO:0006782)	15	5	.69	+	7.25	4.17E-04	3.71E-02
protoporphyrinogen IX metabolic process (GO:0046501)	15	5	.69	+	7.25	4.17E-04	3.65E-02
response to nitrate (GO:0010167)	33	11	1.52	+	7.25	1.42E-07	5.93E-05
photosynthetic electron transport in photosystem I (GO:0009773)	16	5	.74	+	6.79	5.84E-04	4.59E-02
wax biosynthetic process (GO:0010025)	25	7	1.15	+	6.09	9.93E-05	1.46E-02
wax metabolic process (GO:0010166)	26	7	1.20	+	5.85	1.31E-04	1.61E-02
carbon fixation (GO:0015977)	27	7	1.24	+	5.64	1.69E-04	1.91E-02
fatty acid derivative biosynthetic process (GO:1901570)	35	8	1.61	+	4.97	1.52E-04	1.75E-02
nucleosome assembly (GO:0006334)	31	7	1.43	+	4.91	4.27E-04	3.67E-02
nitrate transmembrane transport (GO:0015706)	33	7	1.52	+	4.61	6.40E-04	4.82E-02
photosynthetic electron transport chain (GO:0009767)	45	9	2.07	+	4.35	1.78E-04	1.93E-02
nitrate import (GO:1902025)	51	9	2.35	+	3.84	4.76E-04	3.85E-02
photosynthesis, light reaction (GO:0019684)	147	24	6.76	+	3.55	6.54E-08	3.55E-05
photosynthesis (GO:0015979)	262	42	12.05	+	3.48	1.63E-12	8.81E-09
hydrogen peroxide catabolic process (GO:0042744)	101	15	4.65	+	3.23	5.83E-05	9.87E-03
hydrogen peroxide metabolic process (GO:0042743)	111	15	5.11	+	2.94	1.73E-04	1.92E-02
circadian rhythm (GO:0007623)	124	16	5.70	+	2.80	1.85E-04	1.97E-02
rhythmic process (GO:0048511)	145	18	6.67	+	2.70	1.24E-04	1.69E-02
glycosyl compound metabolic process (GO:1901657)	151	17	6.95	+	2.45	6.04E-04	4.61E-02
terpenoid metabolic process (GO:0006721)	191	21	8.79	+	2.39	3.24E-04	3.03E-02
