




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	Client Text Box Input (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	Client Text Box Input (2981)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) (GO:0019379)	3	3	.33	+	9.22	1.28E-03	4.19E-02
respiratory burst involved in defense response (GO:0002679)	5	4	.54	+	7.37	6.32E-04	2.25E-02
1-aminocyclopropane-1-carboxylate metabolic process (GO:0018871)	8	5	.87	+	5.76	6.33E-04	2.24E-02
1-aminocyclopropane-1-carboxylate biosynthetic process (GO:0042218)	8	5	.87	+	5.76	6.33E-04	2.23E-02
protein localization to phagophore assembly site (GO:0034497)	8	5	.87	+	5.76	6.33E-04	2.21E-02
fruit ripening (GO:0009835)	10	6	1.08	+	5.53	2.31E-04	9.43E-03
regulation of defense response to insect (GO:2000068)	13	6	1.41	+	4.25	1.42E-03	4.60E-02
non-proteinogenic amino acid biosynthetic process (GO:0170043)	16	7	1.74	+	4.03	8.27E-04	2.86E-02
response to purine-containing compound (GO:0014074)	16	7	1.74	+	4.03	8.27E-04	2.84E-02
response to chitin (GO:0010200)	23	10	2.50	+	4.01	6.70E-05	3.24E-03
protein autoubiquitination (GO:0051865)	19	8	2.06	+	3.88	4.77E-04	1.74E-02
cellular response to hypoxia (GO:0071456)	238	92	25.82	+	3.56	2.48E-29	1.92E-26
cellular response to oxygen levels (GO:0071453)	241	93	26.15	+	3.56	1.44E-29	1.30E-26
cellular response to decreased oxygen levels (GO:0036294)	240	92	26.04	+	3.53	5.25E-29	3.56E-26
sulfate assimilation (GO:0000103)	21	8	2.28	+	3.51	1.05E-03	3.52E-02
response to hypoxia (GO:0001666)	268	101	29.08	+	3.47	5.36E-31	9.69E-28
response to oxygen levels (GO:0070482)	276	102	29.95	+	3.41	1.82E-30	2.47E-27
response to decreased oxygen levels (GO:0036293)	274	101	29.73	+	3.40	4.51E-30	4.89E-27
pattern recognition receptor signaling pathway (GO:0002221)	28	10	3.04	+	3.29	4.61E-04	1.69E-02
jasmonic acid biosynthetic process (GO:0009695)	40	14	4.34	+	3.23	4.55E-05	2.30E-03
regulation of plant-type hypersensitive response (GO:0010363)	29	10	3.15	+	3.18	6.36E-04	2.21E-02
negative regulation of programmed cell death (GO:0043069)	32	11	3.47	+	3.17	3.54E-04	1.32E-02
regulation of defense response to fungus (GO:1900150)	40	13	4.34	+	3.00	2.00E-04	8.21E-03
root hair cell tip growth (GO:0048768)	31	10	3.36	+	2.97	1.15E-03	3.80E-02
long-chain fatty acid biosynthetic process (GO:0042759)	47	15	5.10	+	2.94	8.34E-05	3.83E-03
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	41	13	4.45	+	2.92	2.64E-04	1.07E-02
positive regulation of growth (GO:0045927)	42	13	4.56	+	2.85	3.45E-04	1.31E-02
response to wounding (GO:0009611)	279	86	30.27	+	2.84	7.21E-20	2.61E-17
calcium ion transmembrane transport (GO:0070588)	91	28	9.87	+	2.84	2.01E-07	1.52E-05
calcium ion transport (GO:0006816)	92	28	9.98	+	2.81	2.60E-07	1.88E-05
jasmonic acid metabolic process (GO:0009694)	64	19	6.94	+	2.74	3.11E-05	1.64E-03
response to salt (GO:1902074)	52	15	5.64	+	2.66	2.95E-04	1.16E-02
positive regulation of innate immune response (GO:0045089)	73	20	7.92	+	2.53	6.94E-05	3.33E-03
positive regulation of immune response (GO:0050778)	75	20	8.14	+	2.46	1.05E-04	4.70E-03
positive regulation of immune system process (GO:0002684)	75	20	8.14	+	2.46	1.05E-04	4.66E-03
ethylene-activated signaling pathway (GO:0009873)	196	52	21.27	+	2.45	7.99E-10	1.08E-07
cellular response to ethylene stimulus (GO:0071369)	204	53	22.13	+	2.39	1.07E-09	1.38E-07
regulation of intracellular signal transduction (GO:1902531)	104	27	11.28	+	2.39	1.84E-05	9.89E-04
auxin metabolic process (GO:0009850)	66	17	7.16	+	2.37	5.24E-04	1.89E-02
xenobiotic transport (GO:0042908)	74	19	8.03	+	2.37	2.64E-04	1.06E-02
long-chain fatty acid metabolic process (GO:0001676)	86	22	9.33	+	2.36	1.46E-04	6.22E-03
positive regulation of defense response (GO:0031349)	126	30	13.67	+	2.19	3.38E-05	1.75E-03
positive regulation of response to biotic stimulus (GO:0002833)	114	27	12.37	+	2.18	9.98E-05	4.55E-03
positive regulation of response to external stimulus (GO:0032103)	114	27	12.37	+	2.18	9.98E-05	4.51E-03
regulation of programmed cell death (GO:0043067)	93	22	10.09	+	2.18	3.44E-04	1.31E-02
response to water deprivation (GO:0009414)	429	101	46.55	+	2.17	4.23E-14	1.04E-11
response to water (GO:0009415)	442	104	47.96	+	2.17	1.68E-14	4.55E-12
phosphorelay signal transduction system (GO:0000160)	247	57	26.80	+	2.13	4.24E-08	3.89E-06
response to acid chemical (GO:0001101)	475	109	51.54	+	2.11	2.51E-14	6.49E-12
response to ethylene (GO:0009723)	297	68	32.22	+	2.11	2.50E-09	2.95E-07
abscisic acid-activated signaling pathway (GO:0009738)	245	56	26.58	+	2.11	6.86E-08	5.81E-06
regulation of innate immune response (GO:0045088)	133	30	14.43	+	2.08	1.08E-04	4.74E-03
regulation of immune response (GO:0050776)	144	32	15.62	+	2.05	7.09E-05	3.34E-03
regulation of immune system process (GO:0002682)	144	32	15.62	+	2.05	7.09E-05	3.31E-03
regulation of response to biotic stimulus (GO:0002831)	249	55	27.02	+	2.04	2.96E-07	2.01E-05
regulation of response to external stimulus (GO:0032101)	249	55	27.02	+	2.04	2.96E-07	1.98E-05
regulation of defense response (GO:0031347)	333	71	36.13	+	1.97	2.27E-08	2.16E-06
response to nitrogen compound (GO:1901698)	190	40	20.61	+	1.94	5.06E-05	2.52E-03
cellular response to abscisic acid stimulus (GO:0071215)	282	58	30.60	+	1.90	1.66E-06	1.05E-04
cellular response to alcohol (GO:0097306)	282	58	30.60	+	1.90	1.66E-06	1.04E-04
positive regulation of response to stimulus (GO:0048584)	306	62	33.20	+	1.87	1.13E-06	7.30E-05
response to osmotic stress (GO:0006970)	596	120	64.67	+	1.86	2.25E-11	3.82E-09
regulation of response to stress (GO:0080134)	492	99	53.38	+	1.85	1.19E-09	1.43E-07
response to alcohol (GO:0097305)	645	128	69.98	+	1.83	1.00E-11	1.76E-09
response to abscisic acid (GO:0009737)	634	125	68.79	+	1.82	3.78E-11	6.03E-09
response to bacterium (GO:0009617)	550	108	59.67	+	1.81	1.03E-09	1.36E-07
response to fatty acid (GO:0070542)	231	45	25.06	+	1.80	1.06E-04	4.68E-03
cellular response to nutrient levels (GO:0031669)	201	39	21.81	+	1.79	3.47E-04	1.31E-02
regulation of signal transduction (GO:0009966)	423	82	45.89	+	1.79	2.15E-07	1.60E-05
response to jasmonic acid (GO:0009753)	227	44	24.63	+	1.79	1.44E-04	6.22E-03
cellular response to starvation (GO:0009267)	186	36	20.18	+	1.78	5.29E-04	1.90E-02
response to salt stress (GO:0009651)	493	95	53.49	+	1.78	2.90E-08	2.71E-06
cell surface receptor signaling pathway (GO:0007166)	219	42	23.76	+	1.77	2.66E-04	1.06E-02
regulation of signaling (GO:0023051)	428	82	46.44	+	1.77	2.75E-07	1.96E-05
regulation of cell communication (GO:0010646)	429	82	46.55	+	1.76	4.04E-07	2.64E-05
metal ion transport (GO:0030001)	315	60	34.18	+	1.76	1.48E-05	8.21E-04
negative regulation of response to stimulus (GO:0048585)	255	48	27.67	+	1.73	1.53E-04	6.49E-03
cellular response to chemical stimulus (GO:0070887)	1727	325	187.38	+	1.73	3.50E-24	2.11E-21
response to salicylic acid (GO:0009751)	192	36	20.83	+	1.73	1.00E-03	3.38E-02
regulation of response to stimulus (GO:0048583)	977	181	106.00	+	1.71	4.21E-13	8.15E-11
response to lipid (GO:0033993)	1060	196	115.01	+	1.70	5.10E-14	1.20E-11
response to oxygen-containing compound (GO:1901700)	1786	326	193.78	+	1.68	4.73E-22	2.14E-19
cellular response to lipid (GO:0071396)	544	99	59.02	+	1.68	2.88E-07	1.98E-05
hormone-mediated signaling pathway (GO:0009755)	960	174	104.16	+	1.67	8.88E-12	1.61E-09
response to chemical (GO:0042221)	3224	584	349.80	+	1.67	1.06E-39	5.72E-36
response to hormone (GO:0009725)	1729	313	187.59	+	1.67	1.26E-20	5.25E-18
response to endogenous stimulus (GO:0009719)	1730	313	187.70	+	1.67	1.32E-20	5.10E-18
defense response to bacterium (GO:0042742)	408	73	44.27	+	1.65	1.82E-05	9.87E-04
cellular response to oxygen-containing compound (GO:1901701)	751	133	81.48	+	1.63	1.22E-08	1.32E-06
response to abiotic stimulus (GO:0009628)	2347	410	254.65	+	1.61	7.05E-24	3.82E-21
cellular response to hormone stimulus (GO:0032870)	1034	179	112.19	+	1.60	1.96E-10	2.87E-08
cellular response to endogenous stimulus (GO:0071495)	1035	179	112.30	+	1.59	2.03E-10	2.89E-08
