gene_id,baseMean_salt,log2FoldChange_salt,lfcSE_salt,stat_salt,pvalue_salt,padj_salt,regulation_salt,baseMean_heat,log2FoldChange_heat,lfcSE_heat,stat_heat,pvalue_heat,padj_heat,regulation_heat
ATMG01390,,,,,,,,52753.3738065853,-5.9435144562267,0.144179631216879,-41.2229827893393,0.0,0.0,down
ATMG00020,,,,,,,,82710.7235735674,-4.97384058168064,0.148756658142902,-33.4360871222486,4.10032874713879e-245,1.63131579204917e-241,down
AT5G12110,,,,,,,,3424.38325068396,-5.11262850778261,0.18510486364985,-27.6201738137677,6.370325159399469e-168,9.50412699250155e-165,down
AT2G42530,,,,,,,,2885.98327703096,4.39842628964827,0.167196194205753,26.3069761279108,1.59579547847192e-152,1.8139635174573002e-149,up
AT5G59310,,,,,,,,2860.68196154567,-8.98644099075647,0.347414287245566,-25.8666419910489,1.58120963763019e-147,1.7156843299941e-144,down
AT3G28270,,,,,,,,1315.43186995153,-5.44038502099373,0.211661251149037,-25.7032640195583,1.07468818168608e-145,1.1153861558708e-142,down
ATMG01170,,,,,,,,1643.61152216212,-7.24478177207853,0.286760499787068,-25.2642249454095,7.90286801707576e-141,7.86039010148398e-138,down
AT2G43570,,,,,,,,1529.43928551633,-4.53249390959341,0.182196026814779,-24.8770183896554,1.31943750257044e-136,1.16652935643922e-133,down
AT2G01010,,,,,,,,3161.55239439301,-4.34953251706478,0.182242575581778,-23.8667199647484,6.79058091210686e-126,5.4032652317634295e-123,down
AT5G24150,,,,,,,,2066.32887572977,-3.76168899675546,0.166741053434854,-22.5600649585986,1.0696559376249e-112,7.509928496189442e-110,down
AT1G31690,,,,,,,,854.522263927787,5.64688407599724,0.25079389965487,22.5160344161808,2.89112467836335e-112,1.91705658881143e-109,up
AT1G75750,,,,,,,,12698.4128022102,-3.62172010204563,0.161465134233535,-22.4303538918027,1.99047474265278e-111,1.28417898869904e-108,down
AT2G01020,,,,,,,,923.882865309054,-4.69989358932124,0.212742449623041,-22.0919407370226,3.77811230201953e-108,2.3733504937239e-105,down
AT3G24100,,,,,,,,4130.31871855469,-3.5934896985176,0.162988220698063,-22.0475423507725,1.00854012582789e-107,6.01871533590937e-105,down
AT4G29030,,,,,,,,1747.36923543434,3.65863630212234,0.169445766297861,21.5917835072432,2.1457073579217e-103,1.16409500774884e-100,up
AT3G16670,,,,,,,,3607.2284402874,3.34101941366606,0.156332510282937,21.3712388269038,2.47478836290057e-101,1.31279273357332e-98,up
AT3G06355,,,,,,,,2005.09756469337,-4.0838511518451,0.191709833168766,-21.3022518685831,1.0819296395752299e-100,5.61450922310876e-98,down
AT3G06345,,,,,,,,4123.28113159644,-3.8826893895711,0.184157165967882,-21.0835639719188,1.12578659065923e-98,5.71779823523969e-96,down
AT4G15210,,,,,,,,1712.77109163523,-3.54664648495109,0.168686286101629,-21.0251026738139,3.86557305946992e-98,1.92239780213764e-95,down
AT3G26170,,,,,,,,1038.93285009118,-4.30765443471951,0.205209998445602,-20.991445189555,7.85217463065255e-98,3.82529103282259e-95,down
AT1G54000,,,,,,,,1994.36238332389,3.55984413978806,0.173323240653768,20.5387582551565,9.70112281407825e-94,4.45337505182427e-91,up
AT1G66270,,,,,,,,2360.54071842212,3.28745866036988,0.161574891751875,20.3463460487308,5.0019903351445696e-92,2.25287757151389e-89,up
AT3G09270,,,,,,,,854.484002134145,3.96384751858013,0.19885744209013,19.9331112626077,2.10086913245538e-88,8.95532983229329e-86,up
AT5G59870,,,,,,,,2384.78420101052,3.22300191671509,0.163176698272412,19.7516063925654,7.7706383542366e-87,3.09154846923303e-84,up
AT1G09140,,,,,,,,5468.77212869388,-3.01268871331008,0.153103335093867,-19.6774858722901,3.36275382573224e-86,1.31593928809925e-83,down
AT2G38530,,,,,,,,13506.7424158765,-3.23099948587311,0.168103399172285,-19.2203102482285,2.50269172746386e-82,9.19103911173688e-80,down
AT1G73040,,,,,,,,685.027014621704,-4.08374265284016,0.21256316900025,-19.2119014410975,2.94287391058621e-82,1.06438398666066e-79,down
ATMG00060,,,,,,,,596.225643980426,-6.42693204169337,0.33493443557936,-19.1886272624559,4.60647396786477e-82,1.64121104607313e-79,down
