




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	salt_up.txt (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	salt_up.txt (1923)	salt_up.txt (expected)	salt_up.txt (over/under)	salt_up.txt (fold Enrichment)	salt_up.txt (raw P-value)	salt_up.txt (FDR)
sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) (GO:0019379)	3	3	.21	+	14.29	3.42E-04	1.52E-02
regulation of defense response to insect (GO:2000068)	13	6	.91	+	6.59	1.30E-04	6.66E-03
response to purine-containing compound (GO:0014074)	16	7	1.12	+	6.25	5.30E-05	2.90E-03
response to chitin (GO:0010200)	23	10	1.61	+	6.21	1.35E-06	1.13E-04
response to ATP (GO:0033198)	15	6	1.05	+	5.72	3.36E-04	1.51E-02
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	41	15	2.87	+	5.23	4.99E-08	5.41E-06
response to organophosphorus (GO:0046683)	17	6	1.19	+	5.04	7.36E-04	2.91E-02
cellular response to hypoxia (GO:0071456)	238	83	16.66	+	4.98	2.26E-36	6.13E-33
cellular response to decreased oxygen levels (GO:0036294)	240	83	16.80	+	4.94	4.62E-36	6.26E-33
cellular response to oxygen levels (GO:0071453)	241	83	16.87	+	4.92	6.57E-36	7.13E-33
response to hypoxia (GO:0001666)	268	88	18.76	+	4.69	3.68E-36	6.65E-33
jasmonic acid biosynthetic process (GO:0009695)	40	13	2.80	+	4.64	1.86E-06	1.42E-04
response to decreased oxygen levels (GO:0036293)	274	88	19.18	+	4.59	2.56E-35	2.31E-32
response to oxygen levels (GO:0070482)	276	88	19.32	+	4.56	4.81E-35	3.72E-32
positive regulation of leaf senescence (GO:1900057)	22	7	1.54	+	4.55	5.44E-04	2.25E-02
oxylipin biosynthetic process (GO:0031408)	30	9	2.10	+	4.29	1.47E-04	7.30E-03
long-chain fatty acid biosynthetic process (GO:0042759)	47	14	3.29	+	4.26	2.45E-06	1.82E-04
jasmonic acid metabolic process (GO:0009694)	64	18	4.48	+	4.02	2.41E-07	2.29E-05
oxylipin metabolic process (GO:0031407)	32	9	2.24	+	4.02	2.53E-04	1.18E-02
response to wounding (GO:0009611)	279	74	19.53	+	3.79	4.30E-24	2.12E-21
response to ozone (GO:0010193)	34	9	2.38	+	3.78	4.17E-04	1.80E-02
long-chain fatty acid metabolic process (GO:0001676)	86	20	6.02	+	3.32	1.50E-06	1.23E-04
ethylene-activated signaling pathway (GO:0009873)	196	44	13.72	+	3.21	3.72E-12	7.21E-10
cellular response to ethylene stimulus (GO:0071369)	204	45	14.28	+	3.15	4.05E-12	7.57E-10
response to hydrogen peroxide (GO:0042542)	83	17	5.81	+	2.93	5.21E-05	2.88E-03
phosphorelay signal transduction system (GO:0000160)	247	48	17.29	+	2.78	9.21E-11	1.51E-08
response to jasmonic acid (GO:0009753)	227	44	15.89	+	2.77	6.01E-10	8.14E-08
response to salicylic acid (GO:0009751)	192	37	13.44	+	2.75	1.60E-08	1.88E-06
response to fatty acid (GO:0070542)	231	44	16.17	+	2.72	1.07E-09	1.35E-07
response to ethylene (GO:0009723)	297	56	20.79	+	2.69	9.05E-12	1.58E-09
response to red light (GO:0010114)	88	15	6.16	+	2.44	1.10E-03	4.19E-02
abscisic acid-activated signaling pathway (GO:0009738)	245	39	17.15	+	2.27	1.59E-06	1.29E-04
response to water deprivation (GO:0009414)	429	67	30.03	+	2.23	6.64E-10	8.77E-08
response to water (GO:0009415)	442	68	30.94	+	2.20	7.95E-10	1.03E-07
response to reactive oxygen species (GO:0000302)	176	27	12.32	+	2.19	1.37E-04	6.85E-03
response to abscisic acid (GO:0009737)	634	97	44.37	+	2.19	3.68E-13	9.08E-11
response to acid chemical (GO:0001101)	475	72	33.25	+	2.17	5.19E-10	7.22E-08
positive regulation of defense response (GO:0031349)	126	19	8.82	+	2.15	1.33E-03	4.93E-02
response to alcohol (GO:0097305)	645	97	45.14	+	2.15	1.13E-12	2.36E-10
response to osmotic stress (GO:0006970)	596	89	41.71	+	2.13	1.06E-11	1.80E-09
cellular response to abscisic acid stimulus (GO:0071215)	282	42	19.74	+	2.13	3.22E-06	2.36E-04
cellular response to alcohol (GO:0097306)	282	42	19.74	+	2.13	3.22E-06	2.33E-04
response to cold (GO:0009409)	444	65	31.08	+	2.09	1.61E-08	1.86E-06
response to salt stress (GO:0009651)	493	72	34.51	+	2.09	3.33E-09	4.11E-07
response to lipid (GO:0033993)	1060	153	74.19	+	2.06	6.09E-18	1.83E-15
cellular response to chemical stimulus (GO:0070887)	1727	244	120.87	+	2.02	4.93E-27	2.97E-24
cellular response to starvation (GO:0009267)	186	26	13.02	+	2.00	7.26E-04	2.89E-02
multicellular organismal reproductive process (GO:0048609)	198	27	13.86	+	1.95	1.05E-03	4.00E-02
response to hormone (GO:0009725)	1729	235	121.01	+	1.94	1.51E-23	6.28E-21
response to endogenous stimulus (GO:0009719)	1730	235	121.08	+	1.94	1.55E-23	6.02E-21
regulation of defense response (GO:0031347)	333	45	23.31	+	1.93	2.03E-05	1.23E-03
response to oxygen-containing compound (GO:1901700)	1786	241	125.00	+	1.93	9.94E-24	4.49E-21
cellular response to nutrient levels (GO:0031669)	201	27	14.07	+	1.92	1.16E-03	4.38E-02
regulation of response to stress (GO:0080134)	492	66	34.44	+	1.92	3.98E-07	3.66E-05
response to chemical (GO:0042221)	3224	432	225.65	+	1.91	1.61E-43	8.76E-40
positive regulation of response to stimulus (GO:0048584)	306	41	21.42	+	1.91	6.31E-05	3.39E-03
response to abiotic stimulus (GO:0009628)	2347	302	164.27	+	1.84	1.99E-26	1.08E-23
hormone-mediated signaling pathway (GO:0009755)	960	121	67.19	+	1.80	2.65E-10	3.78E-08
response to nutrient levels (GO:0031667)	287	36	20.09	+	1.79	6.53E-04	2.62E-02
regulation of signal transduction (GO:0009966)	423	53	29.61	+	1.79	4.44E-05	2.51E-03
regulation of signaling (GO:0023051)	428	53	29.96	+	1.77	5.15E-05	2.88E-03
cellular response to hormone stimulus (GO:0032870)	1034	128	72.37	+	1.77	2.34E-10	3.52E-08
