gene_id,baseMean_salt,log2FoldChange_salt,lfcSE_salt,stat_salt,pvalue_salt,padj_salt,regulation_salt,baseMean_heat,log2FoldChange_heat,lfcSE_heat,stat_heat,pvalue_heat,padj_heat,regulation_heat
AT1G16030,3368.53367487334,6.4761564571028,0.231342026203586,27.9938607065006,1.92990111328235e-172,4.84533839508089e-169,up,491.336473027772,-2.30127028948806,0.209441753548549,-10.9876385701413,4.38242197620656e-28,2.63508299733065e-26,down
AT1G47510,2984.70067772247,7.75699022351671,0.289156226951648,26.8262949246942,1.5949403173493899e-158,2.57423367220192e-155,up,92.4830851033521,-2.61406760231236,0.380346205569163,-6.87286362802169,6.29257167146072e-12,9.772932880249759e-11,down
AT5G20230,4138.60038962165,9.4628308710283,0.360256447930343,26.2669299200384,4.5794741513439306e-152,6.08692928963338e-149,up,654.781367941965,-2.47257990198742,0.199750291912491,-12.3783543859382,3.4228916901431704e-35,3.08331500133613e-33,down
AT1G66500,1878.60105662036,6.01928025077876,0.237382775433179,25.356853460807,7.55103626891207e-142,7.41840067531901e-139,up,223.50965160446,-2.05595228762212,0.28348735214815,-7.25235983913556,4.09571998591357e-13,7.33450350965812e-12,down
AT5G12030,2030.45251509015,8.48804678791677,0.339767572823776,24.9819213686975,9.61193425944152e-138,8.3535102510131e-135,up,2104.10592637371,-12.0705287427297,1.03405156396654,-11.6730433600701,1.7504708167809302e-31,1.27394783132249e-29,down
AT3G41762,2105.82580735539,7.69033816043189,0.331469230556503,23.2007602863186,4.47345704483941e-119,2.97300692309386e-116,up,185.247073340422,-6.22316758479774,0.525905875080112,-11.8332345761488,2.62815206559863e-32,1.99163866533032e-30,down
AT1G53540,1468.95016125659,8.29059865011896,0.359497579232041,23.0616258051844,1.1244911371098502e-117,6.86729776598219e-115,up,5804.24579692817,-11.3639546739188,0.504640188142002,-22.5189252480246,2.70857715117015e-112,1.84732700501665e-109,down
AT2G34930,3061.09691816896,5.89929995104519,0.258388414105854,22.8311318503175,2.25053780129666e-115,1.27132880395249e-112,up,527.778976890137,-2.41755495251909,0.227898918274411,-10.608014161823,2.73500106632217e-26,1.47043266788686e-24,down
AT2G26150,1820.34540374862,7.73554071640154,0.342545865704825,22.5824962169222,6.44065329095074e-113,3.30756822187098e-110,up,223.991744015847,-3.99673900334807,0.309790479696511,-12.9014261744374,4.41843428460668e-38,4.39468520032692e-36,down
AT1G07400,1057.13792712728,6.27230128998013,0.278512900589536,22.5206849546408,2.60313730994832e-112,1.27870631859983e-109,up,1668.30524226791,-5.95727758148219,0.220708754043655,-26.9915781424052,1.85574345687366e-160,2.4610251143906203e-157,down
AT3G28210,3133.8989152736,6.50706058809784,0.29813024320416,21.8262344610298,1.30759181313045e-105,5.37206265627195e-103,up,243.432755504849,-2.56534354133953,0.263859594140131,-9.72238113872458,2.4205374177790004e-22,1.00488084695309e-20,down
AT3G48520,3383.67450312733,6.04147528750034,0.280060930968684,21.5720031587551,3.29128896634937e-103,1.21917976202673e-100,up,104.62005125368,-2.25593383679711,0.356588019191085,-6.32644316518168,2.50876642693511e-10,3.10294110763565e-09,down
AT1G54050,1085.01029271111,5.95408610986919,0.27735235090406,21.4675883959923,3.12836298444511e-102,1.12203952375431e-99,up,441.667463218458,-2.79866532941438,0.215474914537039,-12.9883579971594,1.42450536460697e-38,1.45317810079201e-36,down
AT2G32210,874.67664949391,5.51608393764941,0.272834210931572,20.2177136027595,6.83796145758352e-91,1.8177714952418505e-88,up,155.908795077443,-2.35969639099428,0.296398753951602,-7.96122237200627,1.7034792156699902e-15,3.8912681681587e-14,down
AT4G36500,3681.49108406039,4.44817289643965,0.222513888204621,19.9905405111126,6.65707947798907e-89,1.72900422855909e-86,up,429.275449219027,2.11577100946134,0.221138420450829,9.56763191646197,1.09382289732363e-21,4.3158093193409e-20,up
AT3G47340,8158.06814035204,4.95050690066328,0.248752180130389,19.9013608566903,3.96029152996475e-88,1.00546907203465e-85,up,169.735475917707,2.02959799792968,0.288545954851896,7.03388130660654,2.0086601472447e-12,3.3136645732466e-11,up
