GO biological process complete,FDR
secondary metabolic process (GO:0019748),2.77e-17
phenylpropanoid metabolic process (GO:0009698),3.18e-16
gene expression (GO:0010467),2.72e-13
nucleobase-containing compound metabolic process (GO:0006139),3.46e-13
suberin biosynthetic process (GO:0010345),1.01e-11
macromolecule biosynthetic process (GO:0009059),1.49e-11
nucleic acid metabolic process (GO:0090304),1.71e-11
secondary metabolite biosynthetic process (GO:0044550),3.5e-11
phenylpropanoid biosynthetic process (GO:0009699),6.38e-11
macromolecule metabolic process (GO:0043170),1.46e-10
nucleobase-containing compound biosynthetic process (GO:0034654),1.39e-08
transmembrane transport (GO:0055085),9.39e-08
RNA metabolic process (GO:0016070),1.14e-07
response to stimulus (GO:0050896),1.17e-07
nucleic acid biosynthetic process (GO:0141187),1.17e-07
