condition,GO biological process complete,FDR
heat_up,nucleic acid metabolic process (GO:0090304),1.52e-06
heat_up,macromolecule metabolic process (GO:0043170),3.88e-06
heat_up,nucleobase-containing compound metabolic process (GO:0006139),2.28e-05
heat_up,gene expression (GO:0010467),8.59e-05
heat_up,RNA metabolic process (GO:0016070),0.000102
heat_up,nucleic acid biosynthetic process (GO:0141187),0.00044
heat_up,macromolecule biosynthetic process (GO:0009059),0.000598
heat_up,RNA biosynthetic process (GO:0032774),0.000957
heat_up,protein metabolic process (GO:0019538),0.00152
heat_up,thalianol metabolic process (GO:0080003),0.00224
heat_up,nucleobase-containing compound biosynthetic process (GO:0034654),0.00694
heat_up,RNA processing (GO:0006396),0.00974
heat_up,macromolecule modification (GO:0043412),0.00976
heat_up,cell-cell signaling involved in cell fate commitment (GO:0045168),0.00989
heat_up,triterpenoid metabolic process (GO:0006722),0.01
heat_up,trichome patterning (GO:0048629),0.0137
heat_up,protein catabolic process (GO:0030163),0.0206
heat_up,organelle organization (GO:0006996),0.0208
heat_up,response to chemical (GO:0042221),0.0209
heat_up,cell fate commitment (GO:0045165),0.022
heat_up,proteolysis involved in protein catabolic process (GO:0051603),0.0265
heat_up,lipid metabolic process (GO:0006629),0.0286
heat_up,reactive nitrogen species metabolic process (GO:2001057),0.0286
heat_up,response to toxic substance (GO:0009636),0.0377
heat_up,response to nitrate (GO:0010167),0.039
heat_down,cellular process (GO:0009987),2.19e-07
heat_down,metabolic process (GO:0008152),0.0358
heat_down,ATP biosynthetic process (GO:0006754),0.0372
heat_down,response to stimulus (GO:0050896),0.0405
heat_down,purine nucleoside triphosphate biosynthetic process (GO:0009145),0.0412
heat_down,cellular response to stimulus (GO:0051716),0.0444
heat_down,purine ribonucleoside triphosphate biosynthetic process (GO:0009206),0.047
heat_down,biological regulation (GO:0065007),0.0529
salt_up,response to chemical (GO:0042221),8.759999999999999e-40
salt_up,cellular response to hypoxia (GO:0071456),6.13e-33
salt_up,cellular response to decreased oxygen levels (GO:0036294),6.26e-33
salt_up,response to hypoxia (GO:0001666),6.65e-33
salt_up,cellular response to oxygen levels (GO:0071453),7.13e-33
salt_up,response to decreased oxygen levels (GO:0036293),2.3100000000000002e-32
salt_up,response to oxygen levels (GO:0070482),3.72e-32
salt_up,response to stimulus (GO:0050896),8.72e-25
salt_up,cellular response to chemical stimulus (GO:0070887),2.97e-24
salt_up,response to abiotic stimulus (GO:0009628),1.0799999999999999e-23
salt_up,response to wounding (GO:0009611),2.1200000000000003e-21
salt_up,response to oxygen-containing compound (GO:1901700),4.4900000000000005e-21
salt_up,response to endogenous stimulus (GO:0009719),6.02e-21
salt_up,response to hormone (GO:0009725),6.28e-21
salt_up,response to stress (GO:0006950),1.34e-20
salt_up,gene expression (GO:0010467),4.32e-18
salt_up,macromolecule biosynthetic process (GO:0009059),4.86e-18
salt_up,response to lipid (GO:0033993),1.83e-15
salt_up,nucleobase-containing compound metabolic process (GO:0006139),2.12e-13
salt_up,cellular response to stimulus (GO:0051716),3.1e-13
salt_up,nucleic acid metabolic process (GO:0090304),1.05e-12
salt_up,response to abscisic acid (GO:0009737),9.08e-11
salt_up,nucleobase-containing compound biosynthetic process (GO:0034654),1.04e-10
salt_up,macromolecule metabolic process (GO:0043170),1.13e-10
salt_up,nucleic acid biosynthetic process (GO:0141187),2.18e-10
salt_up,response to alcohol (GO:0097305),2.36e-10
salt_up,RNA metabolic process (GO:0016070),3.37e-10
salt_up,ethylene-activated signaling pathway (GO:0009873),7.21e-10
